"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"-NPN-TO220V";"TO220V";"Q1";"NPN Transistror";"";"";"";"";
"1";"";"-PNP-TO220V";"TO220V";"Q2";"PNP Transistror";"";"";"";"";
"2";"";"W237-4";"W237-4";"X1, X2";"WAGO SCREW CLAMP";"";"";"unknown";"unknown";
"2";"0.1uF";"C-EU025-025X050";"C025-025X050";"C21, C22";"CAPACITOR, European symbol";"";"";"";"";
"2";"100";"R-US_0309/12";"0309/12";"R1, R2";"RESISTOR, American symbol";"";"";"";"";
"2";"10uF";"C-EU025-025X050";"C025-025X050";"C6, C24";"CAPACITOR, European symbol";"";"";"";"";
"2";"10uF";"CPOL-EUE2.5-6";"E2,5-6";"C3, C14";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"120";"R-US_0309/V";"0309V";"R22";"RESISTOR, American symbol";"";"";"";"";
"1";"120\";"R-US_0309/V";"0309V";"R19";"RESISTOR, American symbol";"";"";"";"";
"4";"1N4004";"1N4004";"1N4004";"D11, D12, D17, D18";"";"";"";"";"";
"2";"1N5333";"1N5333";"C1702-15";"D1, D2";"Z DIODE";"";"";"";"";
"2";"1nF";"C-EU025-025X050";"C025-025X050";"C18, C20";"CAPACITOR, European symbol";"";"";"";"";
"2";"5k";"TRIM_EU-B25P";"B25P";"R23, R24";"POTENTIOMETER";"";"";"";"";
"2";"680";"R-US_0309/V";"0309V";"R20, R21";"RESISTOR, American symbol";"";"";"";"";
"1";"LM317BD2T";"LM317BD2T";"D2PACK";"IC1";"500 mA Adjustable Output Positive Voltage Regulator";"";"";"";"";
"1";"LM337_D2PAC";"LM337_D2PAC";"D2PACK";"IC2";"";"";"";"";"";
